# Berço    Linear [m]    H [mm]    u_H [mm]    V [mm]    u_V [mm]    L [mm]    u_L [mm]    Roll [mrad]    u_roll [mrad]    fH [mm]    dH [mm]    fV [mm]    dV [mm]
S20-B10     427.484      -0.672      0.022     0.406      0.030      0.007      0.023       -0.024             0.052       -0.637     -0.035     -0.475      0.029
S20-B09     429.276      -0.669      0.030     0.496      0.025      0.028      0.025        0.004             0.052       -0.653     -0.016     -0.433     -0.103
S20-B08     431.029      -0.573      0.022     0.347      0.030      0.137      0.023        0.227             0.052       -0.669      0.096     -0.388      0.001
S20-B07     433.060      -0.702      0.022     0.227      0.030      0.705      0.023        0.080             0.052       -0.686     -0.016     -0.333      0.066
S20-B06     435.092      -0.530      0.022     0.166      0.030      0.210      0.023        0.024             0.052       -0.703      0.173     -0.275      0.069
S20-B05     436.845      -0.753      0.030     0.039      0.025      0.028      0.025        0.193             0.052       -0.716     -0.037     -0.224      0.145
S20-B04     438.638      -0.723      0.022     0.088      0.030     -0.118      0.023        0.151             0.052       -0.728      0.005     -0.171      0.043
S20-B03     440.499      -0.639      0.022     0.189      0.030      0.102      0.025        0.039             0.052       -0.739      0.100     -0.115     -0.114
S20-B02     442.324      -0.752      0.022     0.118      0.030      0.084      0.023        0.048             0.052       -0.749     -0.003     -0.060     -0.098
S20-B01     449.708      -0.805      0.022     0.134      0.030      0.336      0.023        0.201             0.052       -0.770     -0.035      0.148     -0.054
S19-B11     451.533      -0.734      0.022     0.199      0.030      0.103      0.025        0.510             0.052       -0.771      0.037      0.194     -0.035
S19-B10     453.395      -0.790      0.022     0.235      0.030     -0.008      0.023        0.190             0.052       -0.771     -0.019      0.237     -0.042
S19-B09     455.187      -0.797      0.030     0.347      0.025      0.117      0.025        0.219             0.052       -0.769     -0.028      0.275      0.032
S19-B08     456.941      -0.782      0.022     0.303      0.030     -0.039      0.023        0.040             0.052       -0.767     -0.015      0.308     -0.045
S19-B07     458.972      -0.891      0.022     0.400      0.030      0.294      0.023        0.157             0.052       -0.764     -0.127      0.341      0.019
S19-B06     461.003      -0.695      0.022     0.551      0.030      0.081      0.023        0.251             0.052       -0.760      0.065      0.369      0.142
S19-B05     462.757      -0.729      0.030     0.490      0.025     -0.021      0.025        0.468             0.052       -0.756      0.027      0.389      0.061
S19-B04     464.549      -0.769      0.022     0.385      0.030      0.039      0.023        0.262             0.052       -0.753     -0.016      0.404     -0.059
S19-B03     466.411      -0.727      0.022     0.415      0.030     -0.069      0.025        0.353             0.052       -0.750      0.023      0.416     -0.041
S19-B02     468.235      -0.775      0.022     0.426      0.030      0.162      0.023        0.169             0.052       -0.748     -0.027      0.422     -0.036
S19-B01     475.620      -0.729      0.022     0.416      0.030      0.190      0.023        0.107             0.052       -0.755      0.026      0.407     -0.031
S18-B11     477.445      -0.739      0.022     0.322      0.030      0.304      0.025        0.281             0.052       -0.761      0.022      0.394     -0.112
S18-B10     479.306      -0.699      0.022     0.446      0.030      0.269      0.023        0.227             0.052       -0.770      0.071      0.379      0.027
S18-B09     481.099      -0.675      0.030     0.417      0.025      0.000      0.025        0.056             0.052       -0.781      0.106      0.361      0.016
S18-B08     482.853      -0.784      0.022     0.364      0.030      0.142      0.023        0.330             0.052       -0.794      0.010      0.343     -0.019
S18-B07     484.883      -0.901      0.022     0.396      0.030      0.308      0.023        0.028             0.052       -0.811     -0.090      0.319      0.037
S18-B06     486.915      -0.870      0.022     0.448      0.030      0.193      0.023        0.382             0.052       -0.832     -0.038      0.295      0.113
S18-B05     488.668      -0.915      0.030     0.486      0.025      0.301      0.025        0.305             0.052       -0.851     -0.064      0.273      0.173
S18-B04     490.461      -0.896      0.022     0.220      0.030      0.230      0.023        0.182             0.052       -0.872     -0.024      0.251     -0.071
S18-B03     492.322      -0.985      0.022     0.313      0.030      0.559      0.025        0.106             0.052       -0.896     -0.089      0.229      0.044
S18-B02     494.147      -0.889      0.022     0.198      0.030      0.017      0.023        0.178             0.052       -0.920      0.031      0.207     -0.049
S18-B01     501.531      -0.953      0.022     0.144      0.030      0.635      0.023        0.072             0.052       -1.020      0.067      0.134     -0.030
S17-B11     503.356      -1.010      0.022     0.128      0.030      0.837      0.025       -0.060             0.052       -1.043      0.033      0.120     -0.032
S17-B10     505.217      -1.045      0.022     0.131      0.030      0.804      0.023        0.046             0.052       -1.065      0.020      0.108     -0.017
S17-B09     507.010      -1.056      0.030     0.003      0.025      0.374      0.025        0.189             0.052       -1.085      0.029      0.098     -0.135
